eeschema (2012-01-19 BZR 3256)-stable  >> Creation date: Mon 16 Jul 2012 03:39:25 PM EEST

#Cmp ( order = Reference )
| C1         CP1         ; CAP_POL_10u 
| C2         100n        ; SM0805      
| C3         10u         ; SM0805      
| C4         100n        ; SM0805      
| C5         10u         ; SM0805      
| C6         100n        ; SM0805      
| D1         1N4148      ; melf        
| D2         RED         ; KP-2012ZGC  
| D3         1N4007      ; melf        
| JP1        JUMPER3     ; JUMPER3     
| P1         CONN_2      ; TS-501      
| P2         CONN_2      ; 2EDGR       
| P3         CONN_2      ; TS-501      
| R1         5.62K       ; SM0805      
| R2         10.7K       ; SM0805      
| R3         2.74K       ; SM0805      
| R4         53.6K       ; SM0805      
| R5         5K          ; SM0805      
| R6         40.2K       ; SM0805      
| R7         453K        ; SM0805      
| R8         10K         ; SM0805      
| RV1        200         ; BOURNS_TRIMMER
| RV2        240K        ; BOURNS_TRIMMER
| U1         BA033CC0WFP ; BA033CCOWFP 
| U?1        AD8551      ; MSOP_8      
#End Cmp

#Cmp ( order = Value )
| 10.7K        R2        ; SM0805      
| 100n         C2        ; SM0805      
| 100n         C4        ; SM0805      
| 100n         C6        ; SM0805      
| 10K          R8        ; SM0805      
| 10u          C3        ; SM0805      
| 10u          C5        ; SM0805      
| 1N4007       D3        ; melf        
| 1N4148       D1        ; melf        
| 2.74K        R3        ; SM0805      
| 200          RV1       ; BOURNS_TRIMMER
| 240K         RV2       ; BOURNS_TRIMMER
| 40.2K        R6        ; SM0805      
| 453K         R7        ; SM0805      
| 5.62K        R1        ; SM0805      
| 53.6K        R4        ; SM0805      
| 5K           R5        ; SM0805      
| AD8551       U?1       ; MSOP_8      
| BA033CC0WFP  U1        ; BA033CCOWFP 
| CONN_2       P1        ; TS-501      
| CONN_2       P2        ; 2EDGR       
| CONN_2       P3        ; TS-501      
| CP1          C1        ; CAP_POL_10u 
| JUMPER3      JP1       ; JUMPER3     
| RED          D2        ; KP-2012ZGC  
#End Cmp

#End List
